date,month,year,approve,disaprove,undecided/nodata
2018-10-08,10,2018,44,51,5
2018-10-01,10,2018,43,53,4
2018-09-24,9,2018,42,53,5
2018-09-17,9,2018,40,56,4
2018-09-10,9,2018,38,56,6
2018-09-03,9,2018,40,54,6
2018-08-27,8,2018,41,53,6
2018-08-20,8,2018,41,54,5
2018-08-13,8,2018,42,52,6
2018-08-06,8,2018,39,56,5
2018-07-30,7,2018,41,54,5
2018-07-23,7,2018,40,55,5
2018-07-16,7,2018,42,54,4
2018-07-09,7,2018,43,52,5
2018-07-02,7,2018,41,56,3
2018-06-25,6,2018,42,53,5
2018-06-18,6,2018,41,55,4
2018-06-11,6,2018,45,50,5
2018-06-04,6,2018,42,54,4
2018-05-28,5,2018,41,55,4
2018-05-21,5,2018,40,55,5
2018-05-14,5,2018,42,54,4
2018-05-07,5,2018,43,52,5
2018-04-30,4,2018,42,52,6
2018-04-23,4,2018,42,53,5
2018-04-16,4,2018,38,57,5
2018-04-09,4,2018,39,55,6
2018-04-02,4,2018,41,54,5
2018-03-26,3,2018,39,55,6
2018-03-19,3,2018,39,55,6
2018-03-12,3,2018,40,56,4
2018-03-05,3,2018,39,56,5
2018-02-26,2,2018,39,55,6
2018-02-19,2,2018,39,56,5
2018-02-12,2,2018,37,59,4
2018-02-05,2,2018,40,57,3
2018-01-29,1,2018,40,57,3
2018-01-21,1,2018,38,58,4
2018-01-15,1,2018,36,59,5
2018-01-08,1,2018,38,57,5
2018-01-01,1,2018,37,58,5
2017-12-25,12,2017,39,55,6
2017-12-18,12,2017,37,57,6
2017-12-11,12,2017,35,60,5
2017-12-04,12,2017,36,59,5
2017-11-27,11,2017,35,59,6
2017-11-20,11,2017,37,56,7
2017-11-13,11,2017,38,57,5
2017-11-06,11,2017,38,56,6
2017-10-30,10,2017,38,58,4
2017-10-23,10,2017,35,60,5
2017-10-16,10,2017,36,58,6
2017-10-09,10,2017,37,57,6
2017-10-02,10,2017,38,56,6
2017-09-25,9,2017,37,58,5
2017-09-18,9,2017,38,55,7
2017-09-11,9,2017,38,57,5
2017-09-04,9,2017,37,57,6
2017-08-28,8,2017,36,59,5
2017-08-21,8,2017,35,60,5
2017-08-14,8,2017,37,58,5
2017-08-07,8,2017,36,58,6
2017-07-31,7,2017,37,58,5
2017-07-24,7,2017,38,57,5
2017-07-17,7,2017,37,58,5
2017-07-10,7,2017,39,56,5
2017-07-03,7,2017,38,57,5
2017-06-26,6,2017,39,56,5
2017-06-19,6,2017,39,56,5
2017-06-12,6,2017,38,57,5
2017-06-05,6,2017,37,58,5
2017-05-29,5,2017,38,56,6
2017-05-22,5,2017,41,54,5
2017-05-15,5,2017,38,56,6
2017-05-08,5,2017,38,56,6
2017-05-01,5,2017,42,53,5
2017-04-24,4,2017,41,54,5
2017-04-17,4,2017,41,52,7
2017-04-10,4,2017,40,54,6
2017-04-03,4,2017,40,53,7
2017-03-27,3,2017,38,57,5
2017-03-20,3,2017,39,56,5
2017-03-13,3,2017,40,55,5
2017-03-06,3,2017,42,52,6
2017-02-27,2,2017,43,51,6
2017-02-20,2,2017,42,53,5
2017-02-13,2,2017,40,54,6
2017-02-06,2,2017,41,53,6
2017-01-30,1,2017,43,52,5
2017-01-23,1,2017,45,47,8
2017-01-17,1,2017,59,37,4
2017-01-15,1,2017,58,38,4
2017-01-14,1,2017,57,39,4
2017-01-13,1,2017,57,38,5
2017-01-12,1,2017,57,39,4
2017-01-11,1,2017,58,37,5
2017-01-10,1,2017,57,40,3
2017-01-09,1,2017,57,40,3
2017-01-08,1,2017,55,42,3
2017-01-07,1,2017,56,40,0
2017-01-06,1,2017,56,41,3
2017-01-05,1,2017,56,40,4
2017-01-04,1,2017,56,41,3
2017-01-03,1,2017,56,42,2
2017-01-02,1,2017,54,43,3
2016-12-30,12,2016,53,43,4
2016-12-29,12,2016,54,42,4
2016-12-28,12,2016,55,40,5
2016-12-27,12,2016,56,41,3
2016-12-26,12,2016,55,40,5
2016-12-23,12,2016,56,40,4
2016-12-22,12,2016,56,40,4
2016-12-21,12,2016,56,41,3
2016-12-20,12,2016,56,40,4
2016-12-19,12,2016,56,40,4
2016-12-18,12,2016,57,39,4
2016-12-17,12,2016,57,39,4
2016-12-16,12,2016,57,38,5
2016-12-15,12,2016,56,40,4
2016-12-14,12,2016,56,40,4
2016-12-13,12,2016,56,41,3
2016-12-12,12,2016,56,41,3
2016-12-11,12,2016,57,40,3
2016-12-10,12,2016,56,41,3
2016-12-09,12,2016,59,39,2
2016-12-08,12,2016,58,40,2
2016-12-06,12,2016,59,39,2
2016-12-05,12,2016,56,41,3
2016-12-04,12,2016,55,41,4
2016-12-03,12,2016,54,42,4
2016-12-02,12,2016,54,42,4
2016-12-01,12,2016,53,44,3
2016-11-29,11,2016,53,45,2
2016-11-28,11,2016,54,43,3
2016-11-27,11,2016,57,40,3
2016-11-26,11,2016,57,39,4
2016-11-25,11,2016,57,39,4
2016-11-23,11,2016,56,40,4
2016-11-22,11,2016,56,40,4
2016-11-21,11,2016,55,42,3
2016-11-20,11,2016,55,42,3
2016-11-19,11,2016,56,42,2
2016-11-18,11,2016,57,40,3
2016-11-17,11,2016,56,41,3
2016-11-16,11,2016,58,40,2
2016-11-15,11,2016,56,42,2
2016-11-14,11,2016,56,41,3
2016-11-13,11,2016,56,40,4
2016-11-12,11,2016,57,40,3
2016-11-11,11,2016,57,40,3
2016-11-10,11,2016,57,41,2
2016-11-09,11,2016,57,40,3
2016-11-08,11,2016,58,40,2
2016-11-07,11,2016,56,42,2
2016-11-06,11,2016,56,42,2
2016-11-05,11,2016,56,42,8
2016-11-04,11,2016,56,41,3
2016-11-03,11,2016,53,44,3
2016-11-02,11,2016,51,46,3
2016-10-31,10,2016,49,48,3
2016-10-30,10,2016,51,47,4
2016-10-29,10,2016,53,45,2
2016-10-28,10,2016,54,44,2
2016-10-27,10,2016,55,43,2
2016-10-26,10,2016,53,44,3
2016-10-25,10,2016,54,43,3
2016-10-24,10,2016,53,44,3
2016-10-23,10,2016,52,44,4
2016-10-22,10,2016,52,46,2
2016-10-21,10,2016,54,43,3
2016-10-20,10,2016,56,41,3
2016-10-19,10,2016,57,40,3
2016-10-18,10,2016,55,42,3
2016-10-17,10,2016,55,42,3
2016-10-16,10,2016,53,44,3
2016-10-15,10,2016,54,43,3
2016-10-14,10,2016,54,43,3
2016-10-13,10,2016,55,41,4
2016-10-12,10,2016,54,42,4
2016-10-11,10,2016,53,43,4
2016-10-10,10,2016,53,42,5
2016-10-09,10,2016,54,42,4
2016-10-08,10,2016,55,42,3
2016-10-07,10,2016,53,44,3
2016-10-06,10,2016,52,46,2
2016-10-04,10,2016,51,46,3
2016-10-03,10,2016,51,45,4
2016-10-02,10,2016,54,43,3
2016-10-01,10,2016,54,43,3
2016-09-30,9,2016,54,43,3
2016-09-29,9,2016,52,45,3
2016-09-28,9,2016,53,44,3
2016-09-27,9,2016,52,44,4
2016-09-26,9,2016,51,45,4
2016-09-25,9,2016,50,45,5
2016-09-24,9,2016,51,44,5
2016-09-23,9,2016,54,41,5
2016-09-22,9,2016,54,41,5
2016-09-21,9,2016,53,42,5
2016-09-20,9,2016,52,44,4
2016-09-19,9,2016,52,45,3
2016-09-18,9,2016,53,44,3
2016-09-17,9,2016,51,45,4
2016-09-16,9,2016,51,45,4
2016-09-15,9,2016,52,44,4
2016-09-14,9,2016,53,45,2
2016-09-13,9,2016,54,43,3
2016-09-12,9,2016,52,45,3
2016-09-11,9,2016,53,44,3
2016-09-10,9,2016,50,46,4
2016-09-09,9,2016,51,45,4
2016-09-08,9,2016,50,45,5
2016-09-06,9,2016,50,46,4
2016-09-05,9,2016,50,46,4
2016-09-04,9,2016,51,45,4
2016-09-03,9,2016,52,44,4
2016-09-02,9,2016,52,44,4
2016-09-01,9,2016,52,44,4
2016-08-31,8,2016,51,45,4
2016-08-30,8,2016,52,44,4
2016-08-29,8,2016,52,44,4
2016-08-28,8,2016,52,43,5
2016-08-27,8,2016,51,44,5
2016-08-26,8,2016,51,44,0
2016-08-25,8,2016,52,44,4
2016-08-24,8,2016,51,43,6
2016-08-23,8,2016,51,44,5
2016-08-22,8,2016,48,46,6
2016-08-21,8,2016,51,44,5
2016-08-20,8,2016,50,45,5
2016-08-19,8,2016,52,44,4
2016-08-18,8,2016,51,46,3
2016-08-16,8,2016,52,45,3
2016-08-15,8,2016,51,45,4
2016-08-14,8,2016,52,45,3
2016-08-13,8,2016,51,45,4
2016-08-12,8,2016,53,44,3
2016-08-11,8,2016,54,43,3
2016-08-10,8,2016,53,43,4
2016-08-09,8,2016,53,42,5
2016-08-08,8,2016,49,46,5
2016-08-07,8,2016,50,45,5
2016-08-06,8,2016,52,45,3
2016-08-05,8,2016,53,44,3
2016-08-04,8,2016,52,45,3
2016-08-03,8,2016,49,46,5
2016-08-02,8,2016,50,45,5
2016-08-01,8,2016,51,44,5
2016-07-31,7,2016,52,44,4
2016-07-30,7,2016,53,44,3
2016-07-29,7,2016,54,43,3
2016-07-28,7,2016,54,42,4
2016-07-27,7,2016,53,43,4
2016-07-26,7,2016,52,44,4
2016-07-25,7,2016,51,46,3
2016-07-24,7,2016,51,45,4
2016-07-23,7,2016,50,46,4
2016-07-22,7,2016,49,48,3
2016-07-20,7,2016,49,47,4
2016-07-19,7,2016,49,47,4
2016-07-18,7,2016,49,47,4
2016-07-17,7,2016,49,47,4
