year,state,dem_voteshare,rep_voteshare
1976,Arizona,0.540108741,0.433394045
1976,California,0.46888718,0.501831182
1976,Connecticut,0.412008525,0.577001262
1976,Delaware,0.436139594,0.558081808
1976,Florida,0.629745088,0.370209418
1976,Hawaii,0.537270103,0.406247104
1976,Indiana,0.401872675,0.590339013
1976,Maine,0.602032526,0.397967474
1976,Maryland,0.565521611,0.388517458
1976,Massachusetts,0.693087219,0.290071069
1976,Michigan,0.524588788,0.468451002
1976,Minnesota,0.675064068,0.250312235
1976,Mississippi,1,
1976,Missouri,0.424961086,0.569386145
1976,Montana,0.641577875,0.358422125
1976,Nebraska,0.528905631,0.470721882
1976,Nevada,0.630087321,0.314370056
1976,New Jersey,0.60660535,0.380497873
1976,New Mexico,0.42701716,0.568157828
1976,New York,0.48576147,0.378759014
1976,North Dakota,0.620966431,0.365524161
1976,Ohio,0.495104465,0.465175726
1976,Pennsylvania,0.467842466,0.523912463
1976,Rhode Island,0.420312053,0.577401694
1976,Tennessee,0.524550189,0.470118278
1976,Texas,0.567843417,0.422372962
1976,Utah,0.428930413,0.555863921
1976,Vermont,0.453200042,0.499740823
1976,Virginia,0.382670305,
1976,Washington,0.718403258,0.242467529
1976,West Virginia,1,
1976,Wisconsin,0.72188005,0.26969129
1976,Wyoming,0.4541347,0.5458653
1978,Alabama,0.723335877,0.433203351
1978,Alaska,0.240946383,0.755925078
1978,Arkansas,0.764797791,0.163028051
1978,Colorado,0.402985147,0.586875165
1978,Delaware,0.579557234,0.410181894
1978,Georgia,0.831338897,0.168661103
1978,Idaho,0.315563974,0.684436026
1978,Illinois,0.45472349,0.533386775
1978,Iowa,0.479114114,0.511290651
1978,Kansas,0.42412588,0.538639147
1978,Kentucky,0.609774258,0.368649889
1978,Louisiana,1,
1978,Maine,0.339435478,0.565945286
1978,Massachusetts,0.550578134,0.448498766
1978,Michigan,0.52138599,0.478518459
1978,Minnesota,0.374976346,0.58999719
1978,Mississippi,0.317739006,0.452873088
1978,Montana,0.556893402,0.443106598
1978,Nebraska,0.676578872,0.323421128
1978,New Hampshire,0.485081134,0.507070822
1978,New Jersey,0.553232031,0.431261063
1978,New Mexico,0.465941942,0.534058058
1978,North Carolina,0.454883458,0.545116542
1978,Oklahoma,0.654880784,0.328607755
1978,Oregon,0.382755306,0.616418941
1978,Rhode Island,0.751123952,0.248876048
1978,South Carolina,0.443224805,0.556775195
1978,South Dakota,0.331640578,0.668359422
1978,Tennessee,0.402930099,0.555394808
1978,Texas,0.492596452,0.497883712
1978,Virginia,0.497858877,0.501721407
1978,West Virginia,0.504780572,0.495219428
1978,Wyoming,0.621667017,0.378332983
1980,Alabama,0.470539199,0.501529585
1980,Alaska,0.459339636,0.536858422
1980,Arizona,0.483817908,0.494568985
1980,Arkansas,0.590872786,0.408717972
1980,California,0.565123885,0.371415971
1980,Colorado,0.503349978,0.486978558
1980,Connecticut,0.563367808,0.429094261
1980,Florida,0.483388737,0.516566195
1980,Georgia,0.491282917,0.508717083
1980,Hawaii,0.779445567,0.18426005
1980,Idaho,0.487752674,0.497446815
1980,Illinois,0.56010606,0.424952768
1980,Indiana,0.462142054,0.537857946
1980,Iowa,0.455404366,0.534864125
1980,Kansas,0.362392527,0.637607473
1980,Kentucky,0.651258447,0.348741553
1980,Louisiana,0.481973525,0.014236998
1980,Maryland,0.338326771,0.661673229
1980,Missouri,0.520017997,0.476737148
1980,Nevada,0.378706227,0.592848364
1980,New Hampshire,0.478470111,0.521407242
1980,New York,0.435361337,0.377741394
1980,North Carolina,0.493781099,0.499572501
1980,Ohio,0.688000381,0.282495506
1980,Oklahoma,0.435478114,0.534694717
1980,Oregon,0.440127699,0.521081216
1980,Pennsylvania,0.480391766,0.504839927
1980,South Carolina,0.703680643,0.296319357
1980,South Dakota,0.393974557,0.582005509
1980,Utah,0.254845212,0.736457131
1980,Vermont,0.498154205,0.484980203
1980,Washington,0.458265567,0.541734433
1980,Wisconsin,0.483389,0.501909988
1982,Arizona,0.569109734,0.40303225
1982,California,0.447759963,0.515353375
1982,Connecticut,0.460675879,0.503906755
1982,Delaware,0.442045455,0.551722874
1982,Florida,0.617191254,0.382649706
1982,Hawaii,0.800842009,0.169938971
1982,Indiana,0.455844344,0.538330489
1982,Maine,0.60867929,0.391290256
1982,Maryland,0.634576429,0.365423571
1982,Massachusetts,0.608105545,0.382589165
1982,Michigan,0.577354764,0.408534252
1982,Minnesota,0.46567997,0.525971158
1982,Mississippi,0.641988075,0.358011925
1982,Missouri,0.491492503,0.508497131
1982,Montana,0.544633124,0.416707676
1982,Nebraska,0.665906713,0.28545928
1982,Nevada,0.487968796,0.512031204
1982,New Jersey,0.509378767,0.477507868
