year,state,winner
1976,Alabama,democrat
1976,Alaska,republican
1976,Arizona,republican
1976,Arkansas,democrat
1976,California,republican
1976,Colorado,republican
1976,Connecticut,republican
1976,Delaware,democrat
1976,District of Columbia,democrat
1976,Florida,democrat
1976,Georgia,democrat
1976,Hawaii,democrat
1976,Idaho,republican
1976,Illinois,republican
1976,Indiana,republican
1976,Iowa,republican
1976,Kansas,republican
1976,Kentucky,democrat
1976,Louisiana,democrat
1976,Maine,republican
1976,Maryland,democrat
1976,Massachusetts,democrat
1976,Michigan,republican
1976,Minnesota,democrat
1976,Mississippi,democrat
1976,Missouri,democrat
1976,Montana,republican
1976,Nebraska,republican
1976,Nevada,republican
1976,New Hampshire,republican
1976,New Jersey,republican
1976,New Mexico,republican
1976,New York,democrat
1976,North Carolina,democrat
1976,North Dakota,republican
1976,Ohio,democrat
1976,Oklahoma,republican
1976,Oregon,republican
1976,Pennsylvania,democrat
1976,Rhode Island,democrat
1976,South Carolina,democrat
1976,South Dakota,republican
1976,Tennessee,democrat
1976,Texas,democrat
1976,Utah,republican
1976,Vermont,republican
1976,Virginia,republican
1976,Washington,republican
1976,West Virginia,democrat
1976,Wisconsin,democrat
1976,Wyoming,republican
1980,Alabama,republican
1980,Alaska,republican
1980,Arizona,republican
1980,Arkansas,republican
1980,California,republican
1980,Colorado,republican
1980,Connecticut,republican
1980,Delaware,republican
1980,District of Columbia,democrat
1980,Florida,republican
1980,Georgia,democrat
1980,Hawaii,democrat
1980,Idaho,republican
1980,Illinois,republican
1980,Indiana,republican
1980,Iowa,republican
1980,Kansas,republican
1980,Kentucky,republican
1980,Louisiana,republican
1980,Maine,republican
1980,Maryland,democrat
1980,Massachusetts,republican
1980,Michigan,republican
1980,Minnesota,democrat
1980,Mississippi,republican
1980,Missouri,republican
1980,Montana,republican
1980,Nebraska,republican
1980,Nevada,republican
1980,New Hampshire,republican
1980,New Jersey,republican
1980,New Mexico,republican
1980,New York,democrat
1980,North Carolina,republican
1980,North Dakota,republican
1980,Ohio,republican
1980,Oklahoma,republican
1980,Oregon,republican
1980,Pennsylvania,republican
1980,Rhode Island,democrat
1980,South Carolina,republican
1980,South Dakota,republican
1980,Tennessee,republican
1980,Texas,republican
1980,Utah,republican
1980,Vermont,republican
1980,Virginia,republican
1980,Washington,republican
1980,West Virginia,democrat
1980,Wisconsin,republican
1980,Wyoming,republican
1984,Alabama,republican
1984,Alaska,republican
1984,Arizona,republican
1984,Arkansas,republican
1984,California,republican
1984,Colorado,republican
1984,Connecticut,republican
1984,Delaware,republican
1984,District of Columbia,democrat
1984,Florida,republican
1984,Georgia,republican
1984,Hawaii,republican
1984,Idaho,republican
1984,Illinois,republican
1984,Indiana,republican
1984,Iowa,republican
1984,Kansas,republican
1984,Kentucky,republican
1984,Louisiana,republican
1984,Maine,republican
1984,Maryland,republican
1984,Massachusetts,republican
1984,Michigan,republican
1984,Minnesota,democrat
1984,Mississippi,republican
1984,Missouri,republican
1984,Montana,republican
1984,Nebraska,republican
1984,Nevada,republican
1984,New Hampshire,republican
1984,New Jersey,republican
1984,New Mexico,republican
1984,New York,republican
1984,North Carolina,republican
1984,North Dakota,republican
1984,Ohio,republican
1984,Oklahoma,republican
1984,Oregon,republican
1984,Pennsylvania,republican
1984,Rhode Island,republican
1984,South Carolina,republican
1984,South Dakota,republican
1984,Tennessee,republican
1984,Texas,republican
1984,Utah,republican
1984,Vermont,republican
1984,Virginia,republican
1984,Washington,republican
1984,West Virginia,republican
1984,Wisconsin,republican
1984,Wyoming,republican
1988,Alabama,republican
1988,Alaska,republican
1988,Arizona,republican
1988,Arkansas,republican
1988,California,republican
1988,Colorado,republican
1988,Connecticut,republican
1988,Delaware,republican
1988,District of Columbia,democrat
1988,Florida,republican
1988,Georgia,republican
1988,Hawaii,democrat
1988,Idaho,republican
1988,Illinois,republican
1988,Indiana,republican
1988,Iowa,democrat
1988,Kansas,republican
1988,Kentucky,republican
1988,Louisiana,republican
1988,Maine,republican
1988,Maryland,republican
1988,Massachusetts,democrat
1988,Michigan,republican
1988,Minnesota,democrat
1988,Mississippi,republican
1988,Missouri,republican
1988,Montana,republican
1988,Nebraska,republican
1988,Nevada,republican
1988,New Hampshire,republican
1988,New Jersey,republican
1988,New Mexico,republican
1988,New York,democrat
1988,North Carolina,republican
1988,North Dakota,republican
1988,Ohio,republican
1988,Oklahoma,republican
1988,Oregon,democrat
1988,Pennsylvania,republican
1988,Rhode Island,democrat
1988,South Carolina,republican
1988,South Dakota,republican
1988,Tennessee,republican
1988,Texas,republican
1988,Utah,republican
1988,Vermont,republican
1988,Virginia,republican
1988,Washington,democrat
1988,West Virginia,democrat
1988,Wisconsin,democrat
1988,Wyoming,republican
1992,Alabama,republican
1992,Alaska,republican
1992,Arizona,republican
1992,Arkansas,democrat
1992,California,democrat
1992,Colorado,democrat
1992,Connecticut,democrat
1992,Delaware,democrat
1992,District of Columbia,democrat
1992,Florida,republican
1992,Georgia,democrat
1992,Hawaii,democrat
1992,Idaho,republican
1992,Illinois,democrat
1992,Indiana,republican
1992,Iowa,democrat
1992,Kansas,republican
1992,Kentucky,democrat
1992,Louisiana,democrat
1992,Maine,democrat
1992,Maryland,democrat
1992,Massachusetts,democrat
1992,Michigan,democrat
1992,Minnesota,democrat
1992,Mississippi,republican
1992,Missouri,democrat
1992,Montana,democrat
1992,Nebraska,republican
1992,Nevada,democrat
1992,New Hampshire,democrat
1992,New Jersey,democrat
1992,New Mexico,democrat
1992,New York,democrat
1992,North Carolina,republican
1992,North Dakota,republican
1992,Ohio,democrat
1992,Oklahoma,republican
1992,Oregon,democrat
1992,Pennsylvania,democrat
1992,Rhode Island,democrat
1992,South Carolina,republican
1992,South Dakota,republican
1992,Tennessee,democrat
1992,Texas,republican
1992,Utah,republican
1992,Vermont,democrat
1992,Virginia,republican
1992,Washington,democrat
1992,West Virginia,democrat
1992,Wisconsin,democrat
1992,Wyoming,republican
1996,Alabama,republican
1996,Alaska,republican
1996,Arizona,democrat
1996,Arkansas,democrat
1996,California,democrat
1996,Colorado,republican
1996,Connecticut,democrat
1996,Delaware,democrat
1996,District of Columbia,democrat
1996,Florida,democrat
1996,Georgia,republican
1996,Hawaii,democrat
1996,Idaho,republican
1996,Illinois,democrat
1996,Indiana,republican
1996,Iowa,democrat
1996,Kansas,republican
1996,Kentucky,democrat
1996,Louisiana,democrat
1996,Maine,democrat
1996,Maryland,democrat
1996,Massachusetts,democrat
1996,Michigan,democrat
1996,Minnesota,democrat
1996,Mississippi,republican
1996,Missouri,democrat
1996,Montana,republican
1996,Nebraska,republican
1996,Nevada,democrat
1996,New Hampshire,democrat
1996,New Jersey,democrat
1996,New Mexico,democrat
1996,New York,democrat
1996,North Carolina,republican
1996,North Dakota,republican
1996,Ohio,democrat
1996,Oklahoma,republican
1996,Oregon,democrat
1996,Pennsylvania,democrat
1996,Rhode Island,democrat
1996,South Carolina,republican
1996,South Dakota,republican
1996,Tennessee,democrat
1996,Texas,republican
1996,Utah,republican
1996,Vermont,democrat
1996,Virginia,republican
1996,Washington,democrat
1996,West Virginia,democrat
1996,Wisconsin,democrat
1996,Wyoming,republican
2000,Alabama,republican
2000,Alaska,republican
2000,Arizona,republican
2000,Arkansas,republican
2000,California,democrat
2000,Colorado,republican
2000,Connecticut,democrat
2000,Delaware,democrat
2000,District of Columbia,democrat
2000,Florida,republican
2000,Georgia,republican
2000,Hawaii,democrat
2000,Idaho,republican
2000,Illinois,democrat
2000,Indiana,republican
2000,Iowa,democrat
2000,Kansas,republican
2000,Kentucky,republican
2000,Louisiana,republican
2000,Maine,democrat
